[[1, 0, 5, 3], [4, 6, 2, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[4, 1, 2, 3], [8, 5, 7, 11], [9, 10, 6, 15], [12, 13, 14, 0]]
[[1, 5, 2, 3], [4, 10, 9, 7], [8, 6, 14, 11], [12, 13, 0, 15]]
[[1, 2, 6, 3], [4, 5, 10, 7], [14, 0, 13, 11], [8, 12, 9, 15]]
[[0, 4, 2, 3], [5, 1, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 2, 6, 3], [4, 5, 10, 7], [8, 9, 11, 15], [12, 13, 0, 14]]
[[0, 2, 6, 5], [1, 4, 7, 3], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 5, 2, 3], [4, 9, 7, 11], [8, 10, 6, 15], [12, 13, 0, 14]]
[[4, 1, 2, 3], [0, 5, 6, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[5, 4, 2, 3], [8, 1, 6, 7], [12, 9, 14, 11], [0, 10, 13, 15]]
[[1, 5, 2, 3], [4, 9, 6, 7], [12, 8, 10, 11], [13, 0, 14, 15]]
[[4, 1, 2, 3], [9, 8, 6, 7], [5, 0, 10, 11], [12, 13, 14, 15]]
[[4, 1, 3, 7], [0, 5, 9, 2], [8, 10, 6, 11], [12, 13, 14, 15]]
[[1, 5, 2, 3], [4, 9, 6, 0], [8, 10, 11, 7], [12, 13, 14, 15]]
[[4, 2, 6, 3], [5, 0, 1, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[8, 4, 2, 3], [1, 6, 7, 11], [12, 5, 10, 15], [13, 9, 14, 0]]
[[0, 1, 2, 3], [4, 5, 10, 7], [8, 6, 9, 11], [12, 13, 14, 15]]
[[4, 1, 2, 3], [5, 9, 6, 7], [8, 13, 10, 11], [12, 0, 14, 15]]
[[4, 1, 3, 7], [8, 5, 2, 0], [12, 9, 6, 11], [13, 14, 10, 15]]
[[1, 5, 2, 3], [8, 4, 10, 7], [6, 0, 9, 11], [12, 13, 14, 15]]
[[1, 2, 6, 3], [4, 5, 10, 7], [8, 9, 0, 11], [12, 13, 14, 15]]
[[1, 5, 2, 3], [8, 4, 6, 0], [9, 13, 11, 7], [12, 14, 10, 15]]
[[4, 1, 2, 0], [5, 6, 7, 3], [8, 9, 11, 15], [12, 10, 13, 14]]
[[5, 2, 6, 3], [1, 4, 0, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
[[1, 8, 2, 3], [4, 5, 6, 7], [9, 10, 11, 15], [12, 0, 13, 14]]
[[1, 2, 6, 3], [4, 5, 10, 0], [8, 9, 11, 7], [12, 13, 14, 15]]
[[4, 1, 0, 2], [8, 6, 7, 3], [12, 5, 10, 11], [13, 9, 14, 15]]
[[4, 1, 2, 3], [9, 8, 6, 7], [12, 5, 10, 11], [0, 13, 14, 15]]
[[4, 1, 3, 0], [5, 6, 2, 7], [8, 9, 10, 11], [12, 13, 14, 15]]
